TITLE, RATING, REASON, DISTRIBUTOR, ALT TITLES, OTHER, SEXUALITY, NUDITY, VIOLENCE, LANGUAGE, SUBSTANCE
Zombie Dawn (2012), R, "Rated R for bloody horror violence  a rape  brief nudity and pervasive language.", "Eagle One Media  Inc.", Blind Death, NA, 0, 1, 1, 1, 0
Zombies vs Strippers (2012), R, "Rated R for bloody horror violence  sexuality/nudity  language and some drug use.", Full Moon Features, NA, NA, 1, 1, 1, 1, 1
#HOLDYOURBREATH (2012), R, "Rated R for strong bloody violence  sexual content  language and some drug use.", "Asylum  The", NA, NA, 1, 0, 1, 1, 1
[Rec]3: Genesis (2012), R, Rated R for strong bloody horror violence and some language., Magnolia Pictures, Rec 3: Genesis, NA, 0, 0, 1, 1, 0
12/12/12 (2012), R, "Rated R for bloody violence  sexual content  nudity and language.", "Asylum Home Entertainment  The", NA, NA, 1, 1, 1, 1, 0
2 Days In New York (2012), R, "Rated R for language  sexual content  some drug use and brief nudity.", Magnolia Pictures, NA, NA, 1, 1, 0, 1, 1
2 Headed Shark Attack Special Edition (2012), R, "Rated R for bloody creature violence  some sexuality/nudity and language.", "Asylum Home Entertainment  The", NA, NA, 1, 1, 1, 1, 0
21 Jump Street (2012), R, "Rated R for crude and sexual content  pervasive language  drug material  teen drinking and some violence.", Columbia Pictures, 21 Jump St., NA, 1, 0, 1, 1, 1
23:59 (2012), R, Rated R for some violent content., Magnolia Pictures, NA, NA, 0, 0, 1, 0, 0
247° F (2012), R, "Rated R for language  a scene of sexuality  some disturbing images and drug use.", Anchor Bay Entertainment, NA, NA, 1, 0, 1, 1, 1
30 Beats (2012), R, "Rated R for sexual content  nudity and language.", Roadside Attractions LLC, NA, NA, 1, 1, 0, 1, 0
30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo (2012), R, "Rated R for strong crude and sexual content throughout  nudity  language and some drug material.", Twentieth Century Fox Home Entertainment LLC, "30 Days Of Paranormal Activity With The Devil Inside  The; Abnormal Activity With The Devil Inside Abraham Lincoln's Dragon Tattoo; Tick Tock", NA, 1, 1, 0, 1, 1
360 (2012), R, "Rated R for sexuality  nudity and language.", Magnolia Pictures, NA, NA, 1, 1, 0, 1, 0
4:44 Last Day On Earth (2012), R, "Rated R for a scene of strong sexuality  nudity  language and some drug content.", IFC Films, NA, NA, 1, 1, 0, 1, 1
6 Month Rule (2012), R, Rated R for language including some sexual references., Abramorama, "Six Month Rule  The", NA, 1, 0, 0, 1, 0
Abduction Of Eden (2012), R, "Rated R for disturbing violent and sexual content involving human trafficking  language and drug use.", Phase 4 Films Inc., Eden, NA, 1, 0, 1, 1, 1
Abraham Lincoln VS Zombies Special Edition (2012), R, Rated R for bloody zombie violence., "Asylum Home Entertainment  The", NA, NA, 0, 0, 1, 0, 0
Abraham Lincoln: Vampire Hunter (2012), R, Rated R for violence throughout and brief sexuality., Twentieth Century Fox Film Corp., NA, NA, 1, 0, 1, 0, 0
Afghan Luke (2012), R, "Rated R for pervasive language  some violence and drug use.", "Screen Media Ventures  LLC", NA, NA, 0, 0, 1, 1, 1
After Dusk They Come (2012), R, Rated R for violence and some language., Lightning Home Entertainment & Lionsgate, "Forgotten Ones  The", NA, 0, 0, 1, 1, 0
"Aggression Scale  The (2012)", R, "Rated R for strong bloody violence  language and brief drug use.", Anchor Bay Films, Nest Egg, NA, 0, 0, 1, 1, 1
Ai Weiwei: Never Sorry (2012), R, Rated R for some language., IFC Films, NA, NA, 0, 0, 0, 1, 0
Alien Dawn (2012), R, Rated R for language and violence., Phase 4 Films Inc., NA, NA, 0, 0, 1, 1, 0
Allegiance (2012), R, Rated R for language throughout., XLrator Media, Recalled, NA, 0, 0, 0, 1, 0
Alpha Males Experiment (2012), R, Rated R for language and sexual content., Naedomi Media, Knuckle Draggers, NA, 1, 0, 0, 1, 0
Alter Egos (2012), R, "Rated R for drug use  brief sexuality  language and violence.", Phase 4 Films Inc., NA, NA, 1, 0, 1, 1, 1
Amber Alert (2012), R, Rated R for some disturbing content and sexual references., Wrekin Hill Entertainment, NA, NA, 1, 0, 1, 0, 0
American Animal (2012), R, "Rated R for strong sexuality  graphic nudity  pervasive language and some drug use.", "Screen Media Ventures  LLC", NA, NA, 1, 1, 0, 1, 1
American Idiots (2012), R, "Rated R for crude and sexual content  nudity  language and some drug use.", Grindstone Entertainment Group, NA, NA, 1, 1, 0, 1, 1
American Reunion (2012), R, "Rated R for crude and sexual content throughout  nudity  language  brief drug use and teen drinking.", Universal Studios, American Pie 4, NA, 1, 1, 0, 1, 1
Amphibious (2012), R, "Rated R for violence  language and brief nudity.", "Freestyle Digital Media  LLC", NA, NA, 0, 1, 1, 1, 0
Amsterdam Heavy (2012), R, "Rated R for violence  language  sexuality/nudity and some drug use.", Naedomi Media, NA, NA, 1, 1, 1, 1, 1
Android Insurrection (2012), R, Rated R for language and brief nudity., Phase 4 Films Inc., NA, NA, 0, 1, 0, 1, 0
Anna Karenina (2012), R, Rated R for some sexuality and violence., Focus Features LLC, NA, NA, 1, 0, 1, 0, 0
Any Day Now (2012), R, "Rated R for sexual content  language and some drug use.", Music Box Films, Famlee, NA, 1, 0, 0, 1, 1
Apartment 143 (Emergo) (2012), R, Rated R for language and some terror., Magnolia Pictures, Emergo, NA, 0, 0, 0, 1, 0
Apocalypse Of The Dead (2012), R, "Rated R for bloody horror violence and gore  and some nudity.", Naedomi Media, Zone Of The Dead, NA, 0, 1, 1, 0, 0
Argo (2012), R, Rated R for language and some violent images., Warner Bros. Pictures, NA, NA, 0, 0, 1, 1, 0
Assassin's Bullet (2012), R, Rated R for violence., ARC Entertainment, Sofia, NA, 0, 0, 1, 0, 0
Assassins Run (2012), R, "Rated R for violence  brief nudity and a sexual reference.", Grindstone Entertainment Group, White Swan, NA, 1, 1, 1, 0, 0
Attack Of The 50 Foot Cheerleader (2012), R, "Rated R for sexual content  nudity and language.", New Horizons Picture Corporation, NA, NA, 1, 1, 0, 1, 0
"Attack  The (2012)", R, "Rated R for some violent images  language and brief sexuality.", Cohen Media Group, NA, NA, 1, 0, 1, 1, 0
"Awakening  The (2012)", R, Rated R for some violence and sexuality/nudity., Cohen Media Group, NA, NA, 1, 1, 1, 0, 0
Axed (2012), R, "Rated R for bloody violence  language and some sexual content.", Brainstorm Media, NA, NA, 1, 0, 1, 1, 0
Baby Mama's Club (2012), R, Rated R for sexual content and language., Grindstone Entertainment Group, Coming Correct, NA, 1, 0, 0, 1, 0
Babymakers (2012), R, "Rated R for crude and sexual content  brief graphic nudity  language and some drug use.", Millennium Entertainment, "Babymakers  The", NA, 1, 1, 0, 1, 1
Bachelorette (2012), R, "Rated R for sexual content  pervasive language  and drug use.", Radius-TWC, NA, NA, 1, 0, 0, 1, 1
Backstage At Budz House (2012), R, "Rated R for language  sexual references and some drug use.", Phase 4 Films Inc., NA, NA, 1, 0, 0, 1, 1
Bad Ass (2012), R, "Rated R for violence  some torture  pervasive language  and some sexual content/nudity.", Samuel Goldwyn Films (old address), Epic Beard Man, NA, 1, 1, 1, 1, 0
Bad Blood The Hunger (2012), R, Rated R for violence and language., Gravity Arch LLC, Bad Blood, NA, 0, 0, 1, 1, 0
Bad Karma (2012), R, "Rated R for violence  language  drug use and some sexuality/nudity.", Anchor Bay Films, NA, NA, 1, 1, 1, 1, 1
Bad Kids Go To Hell (2012), R, "Rated R for violence  language  sexual content and some drug use.", "BKGTH Productions  LLC", NA, NA, 1, 0, 1, 1, 1
Bait 3D (2012), R, "Rated R for bloody violence  some grisly images and language.", Anchor Bay Films, Bait, NA, 0, 0, 1, 1, 0
Bangkok Assassins (2012), R, "Rated R for violent content throughout  some involving minors.", Grindstone Entertainment Group, Bangkok Kick; Bangkok Kung Fu, NA, 0, 0, 1, 0, 0
"Barrens  The (2012)", R, Rated R for violence and language., "Anchor Bay Entertainment  LLC", NA, NA, 0, 0, 1, 1, 0
Barrio Tales (2012), R, "Rated R for bloody violence  pervasive language and drug use.", Phase 4 Films Inc., NA, NA, 0, 0, 1, 1, 1
Bathory (2012), R, "Rated R for strong violence and torture  sexuality and some graphic nudity.", "Screen Media Ventures  LLC", NA, NA, 1, 1, 1, 0, 0
Battle Force (2012), R, Rated R for some war violence and brief language., Grindstone Entertainment Group, NA, NA, 0, 0, 1, 1, 0
"Bay  The (2012)", R, "Rated R for disturbing violent content  bloody images and language.", Lionsgate, Isopod, NA, 0, 0, 1, 1, 0
